2019-11-22 11:28:24 status half-installed libslang2:amd64 2.3.2-2
2019-11-22 11:28:24 status unpacked libslang2:amd64 2.3.2-2
2019-11-22 11:28:24 install libssh2-1:amd64 <none> 1.8.0-2.1
2019-11-22 11:28:24 status half-installed libssh2-1:amd64 1.8.0-2.1
2019-11-22 11:28:25 status unpacked libssh2-1:amd64 1.8.0-2.1
2019-11-22 11:28:25 install mc-data:all <none> 3:4.8.22-1
2019-11-22 11:28:25 status half-installed mc-data:all 3:4.8.22-1
2019-11-22 11:28:25 status unpacked mc-data:all 3:4.8.22-1
2019-11-22 11:28:25 install mc:amd64 <none> 3:4.8.22-1
2019-11-22 11:28:25 status half-installed mc:amd64 3:4.8.22-1
2019-11-22 11:28:25 status unpacked mc:amd64 3:4.8.22-1
2019-11-22 11:28:25 install shared-mime-info:amd64 <none> 1.10-1
2019-11-22 11:28:25 status half-installed shared-mime-info:amd64 1.10-1
2019-11-22 11:28:25 status unpacked shared-mime-info:amd64 1.10-1
2019-11-22 11:28:25 install unzip:amd64 <none> 6.0-23+deb10u1
2019-11-22 11:28:25 status half-installed unzip:amd64 6.0-23+deb10u1
2019-11-22 11:28:25 status unpacked unzip:amd64 6.0-23+deb10u1
2019-11-22 11:28:25 install xdg-user-dirs:amd64 <none> 0.17-2
2019-11-22 11:28:25 status half-installed xdg-user-dirs:amd64 0.17-2
